GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
17001000100,140,17,001,39500,999,,,Census Tract 1,4627,2222,4326,2042,4627,4326
17001000400,140,17,001,39500,999,,,Census Tract 4,4322,1793,4465,1701,4322,4465
17001000600,140,17,001,39500,999,,,Census Tract 6,3718,1789,4026,1822,3718,4026
17001000700,140,17,001,39500,999,,,Census Tract 7,1481,1017,1525,1086,1481,1525
17001000800,140,17,001,39500,999,,,Census Tract 8,2711,1218,2747,1278,2711,2747
17001000900,140,17,001,39500,999,,,Census Tract 9,2573,1298,2745,1323,2573,2745
17001001001,140,17,001,39500,999,,,Census Tract 10.01,3391,1515,3537,1516,3391,3537
17001001002,140,17,001,39500,999,,,Census Tract 10.02,3223,1400,3443,1395,3223,3443
17001010100,140,17,001,39500,999,,,Census Tract 101,4451,1929,4641,1987,4451,4641
17001010300,140,17,001,39500,999,,,Census Tract 103,5890,2481,5799,2350,5890,5799
17003957600,140,17,003,16020,164,,,Census Tract 9576,2928,1152,3223,1283,2928,3223
17003957700,140,17,003,16020,164,,,Census Tract 9577,2172,1075,2334,1191,2172,2334
17005951200,140,17,005,41180,476,,,Census Tract 9512,3216,1466,2987,1288,3216,2987
17005951300,140,17,005,41180,476,,,Census Tract 9513,6958,2298,7093,2207,6958,7093
17005951400,140,17,005,41180,476,,,Census Tract 9514,3146,1410,3177,1378,3146,3177
17005951500,140,17,005,41180,476,,,Census Tract 9515,4448,1915,4376,1816,4448,4376
17007010100,140,17,007,40420,466,,,Census Tract 101,8562,3228,7725,2924,8562,7725
17007010200,140,17,007,40420,466,,,Census Tract 102,6105,2293,6039,2292,6105,6039
17007010300,140,17,007,40420,466,,,Census Tract 103,6631,2564,5721,2168,6631,5721
17031381700,140,17,031,16980,176,,,Census Tract 3817,0,0,0,0,0,0
17007010601,140,17,007,40420,466,,,Census Tract 106.01,3859,1498,2615,1014,3859,2615
17007010602,140,17,007,40420,466,,,Census Tract 106.02,11982,4141,8120,2806,11982,8120
17009970500,140,17,009,99999,999,,,Census Tract 9705,4331,1083,4214,1128,4331,4214
17011964700,140,17,011,36860,999,,,Census Tract 9647,3072,1357,3245,1346,3072,3245
17011964800,140,17,011,36860,999,,,Census Tract 9648,3496,1538,3694,1527,3496,3694
17011964900,140,17,011,36860,999,,,Census Tract 9649,2815,1289,2930,1266,2815,2930
17011965000,140,17,011,36860,999,,,Census Tract 9650,4078,1685,4168,1702,4078,4168
17011965100,140,17,011,36860,999,,,Census Tract 9651,4152,1818,4169,1733,4152,4169
17011965200,140,17,011,36860,999,,,Census Tract 9652,3600,1626,3495,1592,3600,3495
17011965300,140,17,011,36860,999,,,Census Tract 9653,3429,1582,3341,1508,3429,3341
17011965400,140,17,011,36860,999,,,Census Tract 9654,3549,1776,3476,1676,3549,3476
17011965600,140,17,011,36860,999,,,Census Tract 9656,3028,1401,3212,1418,3028,3212
17013951200,140,17,013,41180,476,,,Census Tract 9512,2681,1553,2787,1504,2681,2787
17015960100,140,17,015,99999,999,,,Census Tract 9601,3578,2424,3704,1966,3578,3704
17015960200,140,17,015,99999,999,,,Census Tract 9602,2165,1199,2290,1075,2165,2290
17015960300,140,17,015,99999,999,,,Census Tract 9603,3176,1729,3659,1842,3176,3659
17015960400,140,17,015,99999,999,,,Census Tract 9604,2234,1081,2505,1112,2234,2505
17015960500,140,17,015,99999,999,,,Census Tract 9605,2636,1224,2813,1200,2636,2813
17017960100,140,17,017,99999,999,,,Census Tract 9601,2403,1126,2657,1154,2403,2657
